date P ETpot Q T
2010062104  0.000 0.045 0.0008   9.7
2010062105  0.000 0.089 0.0008  11.4
2010062106  0.000 0.066 0.0008  11.6
2010062107  0.000 0.313 0.0008  13.8
2010062108  0.000 0.311 0.0008  14.8
2010062109  0.000 0.372 0.0008  14.8
2010062110  0.000 0.319 0.0008  15.1
2010062111  0.000 0.322 0.0008  16.3
2010062112  0.000 0.231 0.0008  16.1
2010062113  0.000 0.161 0.0008  15.9
2010062114  0.000 0.255 0.0008  16.5
2010062115  0.000 0.120 0.0008  16.5
2010062116  0.000 0.152 0.0008  17.4
2010062117  0.000 0.144 0.0008  16.5
2010062118  0.000 0.080 0.0008  16.0
2010062119  0.000 0.011 0.0008  12.8
2010062120  0.000 0.000 0.0008  12.1
2010062121  0.000 0.000 0.0008  11.2
2010062122  0.000 0.000 0.0008   9.3
2010062123  0.000 0.000 0.0006   7.9
2010062200  0.000 0.000 0.0006   7.2
2010062201  0.000 0.000 0.0006   5.5
2010062202  0.000 0.000 0.0006   3.6
2010062203  0.000 0.008 0.0006   4.9
2010062204  0.000 0.063 0.0006   8.3
2010062205  0.000 0.116 0.0006  10.5
2010062206  0.000 0.213 0.0006  12.9
2010062207  0.000 0.314 0.0006  14.9
2010062208  0.000 0.329 0.0006  15.0
2010062209  0.000 0.304 0.0006  16.7
2010062210  0.000 0.466 0.0006  18.3
2010062211  0.000 0.507 0.0006  19.4
2010062212  0.000 0.459 0.0006  18.9
2010062213  0.000 0.429 0.0006  19.9
2010062214  0.000 0.400 0.0006  19.8
2010062215  0.000 0.277 0.0006  20.7
2010062216  0.000 0.198 0.0006  20.2
2010062217  0.000 0.126 0.0006  19.4
2010062218  0.000 0.074 0.0006  17.9
2010062219  0.000 0.018 0.0006  15.4
2010062220  0.000 0.000 0.0006  12.6
2010062221  0.000 0.000 0.0006   9.5
2010062222  0.000 0.000 0.0006   9.9
2010062223  0.000 0.000 0.0006   8.7
2010062300  0.000 0.000 0.0006   8.9
2010062301  0.000 0.000 0.0004   8.4
2010062302  0.000 0.000 0.0004   6.0
2010062303  0.000 0.011 0.0004   7.2
2010062304  0.000 0.072 0.0004  11.7
2010062305  0.000 0.163 0.0004  15.1
2010062306  0.000 0.241 0.0006  17.9
2010062307  0.000 0.348 0.0006  19.5
2010062308  0.000 0.430 0.0006  21.1
2010062309  0.000 0.497 0.0006  22.2
2010062310  0.000 0.537 0.0006  23.4
2010062311  0.000 0.557 0.0006  23.5
2010062312  0.000 0.546 0.0006  24.0
2010062313  0.000 0.506 0.0006  24.5
2010062314  0.000 0.444 0.0006  25.5
2010062315  0.000 0.362 0.0006  25.2
2010062316  0.000 0.239 0.0006  25.0
2010062317  0.000 0.167 0.0006  24.6
2010062318  0.000 0.074 0.0004  22.5
2010062319  0.000 0.009 0.0004  17.9
2010062320  0.000 0.000 0.0004  14.6
2010062321  0.000 0.000 0.0004  14.5
2010062322  0.000 0.000 0.0004  12.5
2010062323  0.000 0.000 0.0004  10.7
2010062400  0.000 0.000 0.0004   9.9
2010062401  0.000 0.000 0.0004  10.4
2010062402  0.000 0.000 0.0004   9.7
2010062403  0.000 0.009 0.0004   9.6
2010062404  0.000 0.062 0.0004  13.6
2010062405  0.000 0.142 0.0004  17.1
2010062406  0.000 0.228 0.0004  20.3
2010062407  0.000 0.328 0.0004  22.5
2010062408  0.000 0.419 0.0004  24.0
2010062409  0.000 0.450 0.0004  24.2
2010062410  0.000 0.388 0.0004  24.6
2010062411  0.000 0.373 0.0004  26.1
2010062412  0.000 0.431 0.0004  26.7
